Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Mon Feb 25 2008,8:30p,Chicago Bulls,94,Dallas Mavericks,102,Box Score,,20340,
Mon Feb 25 2008,9:00p,Detroit Pistons,98,Denver Nuggets,93,Box Score,,17901,
Mon Feb 25 2008,7:00p,Toronto Raptors,102,Indiana Pacers,98,Box Score,,10468,
Mon Feb 25 2008,10:30p,Boston Celtics,104,Los Angeles Clippers,76,Box Score,,19328,
Mon Feb 25 2008,8:00p,Washington Wizards,95,New Orleans Hornets,92,Box Score,,11289,
Mon Feb 25 2008,8:30p,Atlanta Hawks,74,San Antonio Spurs,89,Box Score,,18113,
Tue Feb 26 2008,10:30p,Seattle SuperSonics,99,Golden State Warriors,105,Box Score,,19412,
Tue Feb 26 2008,8:30p,Washington Wizards,69,Houston Rockets,94,Box Score,,15768,
Tue Feb 26 2008,10:30p,Portland Trail Blazers,83,Los Angeles Lakers,96,Box Score,,18997,
Tue Feb 26 2008,8:00p,Phoenix Suns,127,Memphis Grizzlies,113,Box Score,,13482,
Tue Feb 26 2008,7:30p,Sacramento Kings,86,Miami Heat,107,Box Score,,19243,
Tue Feb 26 2008,8:00p,Cleveland Cavaliers,102,Milwaukee Bucks,105,Box Score,,15346,
Tue Feb 26 2008,8:00p,Utah Jazz,100,Minnesota Timberwolves,111,Box Score,,15009,
Tue Feb 26 2008,7:30p,Orlando Magic,102,New Jersey Nets,92,Box Score,,14847,
Wed Feb 27 2008,7:00p,Sacramento Kings,117,Atlanta Hawks,123,Box Score,,15661,
Wed Feb 27 2008,7:30p,Cleveland Cavaliers,87,Boston Celtics,92,Box Score,,18624,
Wed Feb 27 2008,7:00p,Chicago Bulls,113,Indiana Pacers,107,Box Score,,10556,
Wed Feb 27 2008,10:30p,Portland Trail Blazers,82,Los Angeles Clippers,80,Box Score,,16494,
Wed Feb 27 2008,8:00p,Phoenix Suns,103,New Orleans Hornets,120,Box Score,,17931,
Wed Feb 27 2008,7:30p,Charlotte Bobcats,89,New York Knicks,113,Box Score,,18076,
Wed Feb 27 2008,7:00p,Orlando Magic,89,Philadelphia 76ers,101,Box Score,,14124,
Wed Feb 27 2008,10:00p,Denver Nuggets,138,Seattle SuperSonics,96,Box Score,,13627,
Wed Feb 27 2008,7:00p,Minnesota Timberwolves,85,Toronto Raptors,107,Box Score,,18325,
Wed Feb 27 2008,9:00p,Detroit Pistons,95,Utah Jazz,103,Box Score,,19911,
Thu Feb 28 2008,10:30p,Miami Heat,88,Los Angeles Lakers,106,Box Score,,18997,
Thu Feb 28 2008,7:30p,Milwaukee Bucks,106,New Jersey Nets,120,Box Score,,14034,
Thu Feb 28 2008,8:00p,Dallas Mavericks,94,San Antonio Spurs,97,Box Score,,18797,
Fri Feb 29 2008,7:30p,New York Knicks,93,Atlanta Hawks,99,Box Score,,18339,
Fri Feb 29 2008,7:30p,Charlotte Bobcats,100,Boston Celtics,108,Box Score,,18624,
Fri Feb 29 2008,8:00p,Washington Wizards,97,Chicago Bulls,91,Box Score,,21884,
Fri Feb 29 2008,7:30p,Minnesota Timberwolves,84,Cleveland Cavaliers,92,Box Score,,20562,
Fri Feb 29 2008,8:30p,Sacramento Kings,106,Dallas Mavericks,115,Box Score,,20354,
Fri Feb 29 2008,10:30p,Los Angeles Clippers,104,Denver Nuggets,110,Box Score,,19155,
Fri Feb 29 2008,10:30p,Philadelphia 76ers,97,Golden State Warriors,119,Box Score,,19602,
Fri Feb 29 2008,8:30p,Memphis Grizzlies,95,Houston Rockets,116,Box Score,,18105,
Fri Feb 29 2008,8:00p,Utah Jazz,98,New Orleans Hornets,110,Box Score,,17445,
Fri Feb 29 2008,10:30p,Los Angeles Lakers,111,Portland Trail Blazers,119,Box Score,,20651,
Fri Feb 29 2008,10:30p,Miami Heat,103,Seattle SuperSonics,93,Box Score,,12542,
Fri Feb 29 2008,7:00p,Indiana Pacers,122,Toronto Raptors,111,Box Score,,19800,
Sat Mar 1 2008,10:30p,Detroit Pistons,103,Los Angeles Clippers,73,Box Score,,19271,
Sat Mar 1 2008,8:00p,Utah Jazz,113,Memphis Grizzlies,92,Box Score,,13232,
Sat Mar 1 2008,8:30p,San Antonio Spurs,96,Milwaukee Bucks,94,Box Score,,16974,
Sat Mar 1 2008,7:00p,New York Knicks,92,Orlando Magic,118,Box Score,,17519,
Sat Mar 1 2008,9:00p,Philadelphia 76ers,119,Phoenix Suns,114,Box Score,,18422,
Sun Mar 2 2008,6:00p,Atlanta Hawks,88,Boston Celtics,98,Box Score,,18624,
Sun Mar 2 2008,6:00p,Toronto Raptors,98,Charlotte Bobcats,110,Box Score,,12083,
Sun Mar 2 2008,1:00p,Chicago Bulls,86,Cleveland Cavaliers,95,Box Score,,20562,
Sun Mar 2 2008,9:00p,Portland Trail Blazers,104,Golden State Warriors,110,Box Score,,19596,
Sun Mar 2 2008,8:00p,Denver Nuggets,89,Houston Rockets,103,Box Score,,18168,
Sun Mar 2 2008,6:00p,Milwaukee Bucks,106,Indiana Pacers,128,Box Score,,11614,
Sun Mar 2 2008,3:30p,Dallas Mavericks,104,Los Angeles Lakers,108,Box Score,OT,18997,
Sun Mar 2 2008,6:30p,Seattle SuperSonics,111,Minnesota Timberwolves,108,Box Score,OT,11508,
Sun Mar 2 2008,6:00p,San Antonio Spurs,93,New Jersey Nets,83,Box Score,,18594,
Sun Mar 2 2008,9:00p,Miami Heat,109,Sacramento Kings,120,Box Score,,15028,
Sun Mar 2 2008,6:00p,New Orleans Hornets,84,Washington Wizards,101,Box Score,,20173,
Mon Mar 3 2008,10:30p,Philadelphia 76ers,106,Los Angeles Clippers,80,Box Score,,15691,
Mon Mar 3 2008,7:30p,New Orleans Hornets,100,New York Knicks,88,Box Score,,18467,
Mon Mar 3 2008,9:00p,Dallas Mavericks,110,Utah Jazz,116,Box Score,,19911,
Tue Mar 4 2008,7:00p,Golden State Warriors,135,Atlanta Hawks,118,Box Score,,16575,
Tue Mar 4 2008,8:30p,Memphis Grizzlies,97,Chicago Bulls,112,Box Score,,21725,
Tue Mar 4 2008,7:30p,Seattle SuperSonics,97,Detroit Pistons,100,Box Score,,22076,
Tue Mar 4 2008,8:00p,Charlotte Bobcats,109,Minnesota Timberwolves,89,Box Score,,10019,
Tue Mar 4 2008,7:00p,Toronto Raptors,87,Orlando Magic,102,Box Score,,17519,
Tue Mar 4 2008,10:00p,Phoenix Suns,97,Portland Trail Blazers,92,Box Score,,20595,
Tue Mar 4 2008,10:00p,Los Angeles Lakers,117,Sacramento Kings,105,Box Score,,17317,
Tue Mar 4 2008,8:30p,New Jersey Nets,70,San Antonio Spurs,81,Box Score,,17486,
Wed Mar 5 2008,7:30p,Detroit Pistons,78,Boston Celtics,90,Box Score,,18624,
Wed Mar 5 2008,7:00p,Golden State Warriors,109,Charlotte Bobcats,118,Box Score,,13747,
Wed Mar 5 2008,9:00p,Phoenix Suns,113,Denver Nuggets,126,Box Score,,18383,
Wed Mar 5 2008,8:30p,Indiana Pacers,99,Houston Rockets,117,Box Score,,18160,
Wed Mar 5 2008,10:30p,Sacramento Kings,109,Los Angeles Clippers,116,Box Score,2OT,17030,
Wed Mar 5 2008,8:00p,New Jersey Nets,93,Memphis Grizzlies,100,Box Score,,10218,
Wed Mar 5 2008,7:30p,Toronto Raptors,108,Miami Heat,83,Box Score,,19143,
Wed Mar 5 2008,8:00p,Seattle SuperSonics,106,Milwaukee Bucks,118,Box Score,,15010,
Wed Mar 5 2008,8:00p,Atlanta Hawks,101,New Orleans Hornets,116,Box Score,,12430,
Wed Mar 5 2008,7:30p,Cleveland Cavaliers,119,New York Knicks,105,Box Score,,18760,
Wed Mar 5 2008,9:00p,Minnesota Timberwolves,76,Utah Jazz,105,Box Score,,19911,
Wed Mar 5 2008,7:00p,Orlando Magic,122,Washington Wizards,92,Box Score,,17745,
Thu Mar 6 2008,7:00p,Cleveland Cavaliers,96,Chicago Bulls,107,Box Score,,22097,
Thu Mar 6 2008,9:30p,Houston Rockets,113,Dallas Mavericks,98,Box Score,,20315,
Thu Mar 6 2008,8:00p,Indiana Pacers,97,San Antonio Spurs,108,Box Score,,17738,
Fri Mar 7 2008,8:00p,Chicago Bulls,93,Boston Celtics,116,Box Score,,18624,
Fri Mar 7 2008,7:00p,Atlanta Hawks,93,Charlotte Bobcats,108,Box Score,,15203,
Fri Mar 7 2008,10:30p,San Antonio Spurs,96,Denver Nuggets,109,Box Score,,19821,
Fri Mar 7 2008,10:30p,Los Angeles Clippers,82,Los Angeles Lakers,119,Box Score,,18997,
Fri Mar 7 2008,7:30p,Golden State Warriors,134,Miami Heat,99,Box Score,,19161,
Fri Mar 7 2008,8:30p,Portland Trail Blazers,103,Milwaukee Bucks,101,Box Score,,15537,
Fri Mar 7 2008,8:00p,New Jersey Nets,96,New Orleans Hornets,107,Box Score,,17225,
Fri Mar 7 2008,7:30p,Detroit Pistons,101,New York Knicks,97,Box Score,,19763,
Fri Mar 7 2008,7:00p,Seattle SuperSonics,83,Philadelphia 76ers,117,Box Score,,17762,
Fri Mar 7 2008,9:00p,Utah Jazz,126,Phoenix Suns,118,Box Score,,18422,
Fri Mar 7 2008,10:00p,Minnesota Timberwolves,111,Sacramento Kings,103,Box Score,,13990,
Fri Mar 7 2008,7:00p,Washington Wizards,110,Toronto Raptors,106,Box Score,OT,19800,
Sat Mar 8 2008,7:00p,Miami Heat,94,Atlanta Hawks,97,Box Score,,17022,
Sat Mar 8 2008,1:00p,Indiana Pacers,95,Cleveland Cavaliers,103,Box Score,,20562,
Sat Mar 8 2008,8:30p,New Jersey Nets,91,Dallas Mavericks,111,Box Score,,20399,
Sat Mar 8 2008,8:30p,New Orleans Hornets,96,Houston Rockets,106,Box Score,,18279,
Sat Mar 8 2008,10:30p,Minnesota Timberwolves,99,Los Angeles Clippers,96,Box Score,,17807,
Sat Mar 8 2008,8:00p,Boston Celtics,119,Memphis Grizzlies,89,Box Score,,18119,
Sat Mar 8 2008,7:30p,Portland Trail Blazers,120,New York Knicks,114,Box Score,OT,19763,
Sat Mar 8 2008,7:00p,Golden State Warriors,104,Orlando Magic,95,Box Score,,17519,
Sat Mar 8 2008,9:00p,Denver Nuggets,105,Utah Jazz,132,Box Score,,19911,
Sat Mar 8 2008,7:00p,Charlotte Bobcats,100,Washington Wizards,97,Box Score,,20173,
Sun Mar 9 2008,8:00p,Chicago Bulls,109,Detroit Pistons,116,Box Score,,22076,
Sun Mar 9 2008,9:30p,Sacramento Kings,114,Los Angeles Lakers,113,Box Score,,18997,
Sun Mar 9 2008,1:00p,Philadelphia 76ers,119,Milwaukee Bucks,97,Box Score,,16437,
Sun Mar 9 2008,2:30p,San Antonio Spurs,87,Phoenix Suns,94,Box Score,,18422,
Sun Mar 9 2008,1:00p,Seattle SuperSonics,106,Toronto Raptors,114,Box Score,,19800,
Mon Mar 10 2008,7:00p,Portland Trail Blazers,80,Cleveland Cavaliers,88,Box Score,,20213,
Mon Mar 10 2008,8:30p,New York Knicks,79,Dallas Mavericks,108,Box Score,,20203,
Mon Mar 10 2008,8:30p,New Jersey Nets,73,Houston Rockets,91,Box Score,,18271,
Mon Mar 10 2008,7:30p,Los Angeles Clippers,99,Miami Heat,98,Box Score,,19014,
Mon Mar 10 2008,7:00p,Atlanta Hawks,112,Orlando Magic,123,Box Score,,15921,
Mon Mar 10 2008,7:00p,Boston Celtics,100,Philadelphia 76ers,86,Box Score,,20438,
Mon Mar 10 2008,8:30p,Denver Nuggets,103,San Antonio Spurs,107,Box Score,,18797,
Tue Mar 11 2008,8:30p,Utah Jazz,96,Chicago Bulls,108,Box Score,,21969,
Tue Mar 11 2008,7:00p,Seattle SuperSonics,107,Indiana Pacers,114,Box Score,,11216,
Tue Mar 11 2008,10:30p,Toronto Raptors,108,Los Angeles Lakers,117,Box Score,,18997,
Tue Mar 11 2008,8:00p,Portland Trail Blazers,103,Minnesota Timberwolves,96,Box Score,,13433,
Tue Mar 11 2008,10:00p,Memphis Grizzlies,111,Phoenix Suns,132,Box Score,,18422,
Tue Mar 11 2008,7:00p,Milwaukee Bucks,97,Washington Wizards,105,Box Score,,14755,
Wed Mar 12 2008,7:00p,Houston Rockets,83,Atlanta Hawks,75,Box Score,,17078,
Wed Mar 12 2008,7:30p,Seattle SuperSonics,82,Boston Celtics,111,Box Score,,18624,
Wed Mar 12 2008,8:30p,Charlotte Bobcats,93,Dallas Mavericks,118,Box Score,,20279,
Wed Mar 12 2008,9:00p,Memphis Grizzlies,86,Denver Nuggets,108,Box Score,,17318,
Wed Mar 12 2008,7:30p,Philadelphia 76ers,83,Detroit Pistons,82,Box Score,,22076,
Wed Mar 12 2008,10:30p,Toronto Raptors,106,Golden State Warriors,117,Box Score,,19596,
Wed Mar 12 2008,7:30p,New York Knicks,91,Miami Heat,88,Box Score,,19103,
Wed Mar 12 2008,8:00p,Utah Jazz,114,Milwaukee Bucks,110,Box Score,,14582,
Wed Mar 12 2008,7:30p,Cleveland Cavaliers,99,New Jersey Nets,104,Box Score,,18287,
Wed Mar 12 2008,8:00p,San Antonio Spurs,75,New Orleans Hornets,100,Box Score,,16319,
Wed Mar 12 2008,7:00p,Los Angeles Clippers,88,Orlando Magic,110,Box Score,,16312,
Thu Mar 13 2008,10:30p,Golden State Warriors,115,Phoenix Suns,123,Box Score,,18422,
Thu Mar 13 2008,10:00p,Portland Trail Blazers,85,Sacramento Kings,96,Box Score,,13333,
Thu Mar 13 2008,8:00p,Cleveland Cavaliers,99,Washington Wizards,101,Box Score,,20173,
Fri Mar 14 2008,7:30p,Los Angeles Clippers,93,Atlanta Hawks,117,Box Score,,16107,
Fri Mar 14 2008,7:30p,Utah Jazz,110,Boston Celtics,92,Box Score,,18624,
Fri Mar 14 2008,8:30p,Philadelphia 76ers,110,Chicago Bulls,106,Box Score,,22069,
Fri Mar 14 2008,8:30p,Indiana Pacers,97,Dallas Mavericks,116,Box Score,,20354,
Fri Mar 14 2008,9:00p,Toronto Raptors,105,Denver Nuggets,137,Box Score,,17952,
Fri Mar 14 2008,8:00p,San Antonio Spurs,80,Detroit Pistons,84,Box Score,,22076,
Fri Mar 14 2008,8:30p,Charlotte Bobcats,80,Houston Rockets,89,Box Score,,18265,
Fri Mar 14 2008,7:30p,Orlando Magic,103,Miami Heat,94,Box Score,,19312,
Fri Mar 14 2008,8:00p,Los Angeles Lakers,98,New Orleans Hornets,108,Box Score,,18199,
Fri Mar 14 2008,10:30p,Minnesota Timberwolves,121,Seattle SuperSonics,116,Box Score,,14035,
Sat Mar 15 2008,10:30p,Memphis Grizzlies,107,Golden State Warriors,110,Box Score,,19596,
Sat Mar 15 2008,8:30p,Boston Celtics,99,Milwaukee Bucks,77,Box Score,,17626,
Sat Mar 15 2008,7:30p,Utah Jazz,115,New Jersey Nets,117,Box Score,,16332,
Sat Mar 15 2008,7:00p,Indiana Pacers,111,Orlando Magic,122,Box Score,,17519,
Sat Mar 15 2008,7:00p,San Antonio Spurs,96,Philadelphia 76ers,103,Box Score,,19942,
Sat Mar 15 2008,10:00p,Sacramento Kings,99,Phoenix Suns,127,Box Score,,18422,
Sat Mar 15 2008,10:00p,Minnesota Timberwolves,96,Portland Trail Blazers,107,Box Score,,20079,
Sat Mar 15 2008,7:00p,Los Angeles Clippers,109,Washington Wizards,119,Box Score,OT,20173,
Sun Mar 16 2008,6:00p,Charlotte Bobcats,91,Cleveland Cavaliers,98,Box Score,,20562,
Sun Mar 16 2008,9:00p,Seattle SuperSonics,116,Denver Nuggets,168,Box Score,,19155,
Sun Mar 16 2008,1:00p,New Orleans Hornets,84,Detroit Pistons,105,Box Score,,22076,
Sun Mar 16 2008,3:30p,Los Angeles Lakers,92,Houston Rockets,104,Box Score,,18409,
Sun Mar 16 2008,6:00p,Dallas Mavericks,98,Miami Heat,73,Box Score,,19304,
Sun Mar 16 2008,6:00p,Atlanta Hawks,109,New York Knicks,98,Box Score,,19763,
Sun Mar 16 2008,9:00p,Toronto Raptors,100,Sacramento Kings,106,Box Score,,13963,
Mon Mar 17 2008,7:00p,New York Knicks,98,Indiana Pacers,110,Box Score,,10691,
Mon Mar 17 2008,8:00p,Charlotte Bobcats,80,Memphis Grizzlies,98,Box Score,,10971,
Mon Mar 17 2008,8:00p,Los Angeles Clippers,90,Minnesota Timberwolves,99,Box Score,,10034,
Mon Mar 17 2008,8:00p,Chicago Bulls,97,New Orleans Hornets,108,Box Score,,14337,
Mon Mar 17 2008,7:00p,Cleveland Cavaliers,90,Orlando Magic,104,Box Score,,17519,
Mon Mar 17 2008,8:30p,Boston Celtics,93,San Antonio Spurs,91,Box Score,,18797,
Mon Mar 17 2008,9:00p,Toronto Raptors,79,Utah Jazz,96,Box Score,,19911,
Mon Mar 17 2008,7:00p,Atlanta Hawks,105,Washington Wizards,96,Box Score,,16227,
Tue Mar 18 2008,8:30p,New Jersey Nets,96,Chicago Bulls,112,Box Score,,22070,
Tue Mar 18 2008,8:30p,Los Angeles Lakers,102,Dallas Mavericks,100,Box Score,,20534,
Tue Mar 18 2008,7:30p,Denver Nuggets,120,Detroit Pistons,136,Box Score,,22076,
Tue Mar 18 2008,9:30p,Boston Celtics,94,Houston Rockets,74,Box Score,,18525,
Tue Mar 18 2008,8:00p,Miami Heat,112,Milwaukee Bucks,106,Box Score,,13379,
Tue Mar 18 2008,10:30p,Phoenix Suns,111,Portland Trail Blazers,98,Box Score,,20580,
Tue Mar 18 2008,10:00p,Golden State Warriors,105,Sacramento Kings,122,Box Score,,16245,
Wed Mar 19 2008,8:00p,Detroit Pistons,73,Cleveland Cavaliers,89,Box Score,,20562,
Wed Mar 19 2008,7:00p,Charlotte Bobcats,95,Indiana Pacers,102,Box Score,,10813,
Wed Mar 19 2008,10:30p,Golden State Warriors,116,Los Angeles Clippers,100,Box Score,,18704,
Wed Mar 19 2008,8:00p,Memphis Grizzlies,94,Minnesota Timberwolves,98,Box Score,,12666,
Wed Mar 19 2008,7:30p,Atlanta Hawks,117,New Jersey Nets,125,Box Score,,14102,
Wed Mar 19 2008,8:00p,Houston Rockets,69,New Orleans Hornets,90,Box Score,,17956,
Wed Mar 19 2008,7:00p,Washington Wizards,87,Orlando Magic,86,Box Score,,16533,
Wed Mar 19 2008,7:00p,Denver Nuggets,113,Philadelphia 76ers,115,Box Score,,20674,
Wed Mar 19 2008,10:00p,Phoenix Suns,110,Seattle SuperSonics,98,Box Score,,17072,
Wed Mar 19 2008,7:00p,Miami Heat,54,Toronto Raptors,96,Box Score,,19800,
Thu Mar 20 2008,8:00p,San Antonio Spurs,102,Chicago Bulls,80,Box Score,,22353,
Thu Mar 20 2008,8:00p,Boston Celtics,94,Dallas Mavericks,90,Box Score,,20582,
Thu Mar 20 2008,10:30p,Los Angeles Lakers,106,Utah Jazz,95,Box Score,,19911,
Fri Mar 21 2008,7:30p,Toronto Raptors,83,Cleveland Cavaliers,90,Box Score,,20562,
Fri Mar 21 2008,10:30p,Houston Rockets,109,Golden State Warriors,106,Box Score,,19824,
Fri Mar 21 2008,7:00p,Minnesota Timberwolves,113,Indiana Pacers,124,Box Score,,11805,
Fri Mar 21 2008,10:30p,Seattle SuperSonics,105,Los Angeles Lakers,130,Box Score,,18997,
Fri Mar 21 2008,7:30p,Washington Wizards,103,Miami Heat,86,Box Score,,19345,
Fri Mar 21 2008,7:30p,Denver Nuggets,125,New Jersey Nets,114,Box Score,,17949,
Fri Mar 21 2008,7:30p,Memphis Grizzlies,120,New York Knicks,106,Box Score,,19763,
Fri Mar 21 2008,7:00p,Philadelphia 76ers,95,Orlando Magic,113,Box Score,,17519,
Fri Mar 21 2008,10:00p,Los Angeles Clippers,102,Portland Trail Blazers,107,Box Score,,19980,
Fri Mar 21 2008,8:30p,Sacramento Kings,89,San Antonio Spurs,102,Box Score,,18797,
Sat Mar 22 2008,7:00p,Orlando Magic,90,Atlanta Hawks,98,Box Score,,18825,
Sat Mar 22 2008,7:00p,Miami Heat,82,Charlotte Bobcats,94,Box Score,,17522,
Sat Mar 22 2008,8:30p,Indiana Pacers,108,Chicago Bulls,101,Box Score,,21752,
Sat Mar 22 2008,10:30p,Portland Trail Blazers,83,Los Angeles Clippers,72,Box Score,,18248,
Sat Mar 22 2008,8:00p,Sacramento Kings,111,Memphis Grizzlies,117,Box Score,,11151,
Sat Mar 22 2008,8:30p,Cleveland Cavaliers,98,Milwaukee Bucks,108,Box Score,,15337,
Sat Mar 22 2008,8:00p,New York Knicks,93,Minnesota Timberwolves,114,Box Score,,14789,
Sat Mar 22 2008,8:00p,Boston Celtics,106,New Orleans Hornets,113,Box Score,,18280,
Sat Mar 22 2008,7:00p,New Jersey Nets,87,Philadelphia 76ers,91,Box Score,,19205,
Sat Mar 22 2008,10:00p,Houston Rockets,113,Phoenix Suns,122,Box Score,,18422,
Sat Mar 22 2008,9:00p,Seattle SuperSonics,101,Utah Jazz,115,Box Score,,19911,
Sun Mar 23 2008,1:00p,San Antonio Spurs,88,Dallas Mavericks,81,Box Score,,20411,
Sun Mar 23 2008,9:30p,Golden State Warriors,115,Los Angeles Lakers,111,Box Score,,18997,
Sun Mar 23 2008,3:30p,Denver Nuggets,109,Toronto Raptors,100,Box Score,,19800,
Sun Mar 23 2008,8:00p,Detroit Pistons,83,Washington Wizards,95,Box Score,,20173,
Mon Mar 24 2008,7:30p,Philadelphia 76ers,95,Boston Celtics,90,Box Score,,18624,
Mon Mar 24 2008,7:30p,Phoenix Suns,105,Detroit Pistons,110,Box Score,OT,22076,
Mon Mar 24 2008,10:30p,Los Angeles Lakers,123,Golden State Warriors,119,Box Score,OT,20713,
Mon Mar 24 2008,8:30p,Sacramento Kings,100,Houston Rockets,108,Box Score,,18241,
Mon Mar 24 2008,8:00p,Denver Nuggets,120,Memphis Grizzlies,106,Box Score,,12317,
Mon Mar 24 2008,7:30p,Milwaukee Bucks,73,Miami Heat,78,Box Score,,19024,
Mon Mar 24 2008,7:30p,New Jersey Nets,106,New York Knicks,91,Box Score,,19763,
Mon Mar 24 2008,10:00p,Portland Trail Blazers,84,Seattle SuperSonics,97,Box Score,,11292,
Tue Mar 25 2008,8:30p,Atlanta Hawks,94,Chicago Bulls,103,Box Score,,21806,
Tue Mar 25 2008,8:30p,Los Angeles Clippers,90,Dallas Mavericks,103,Box Score,,20207,
Tue Mar 25 2008,7:00p,New Orleans Hornets,114,Indiana Pacers,106,Box Score,,10829,
Tue Mar 25 2008,7:00p,San Antonio Spurs,107,Orlando Magic,97,Box Score,,17519,
Tue Mar 25 2008,10:00p,Washington Wizards,82,Portland Trail Blazers,102,Box Score,,19980,
Tue Mar 25 2008,9:00p,Charlotte Bobcats,106,Utah Jazz,128,Box Score,,19911,
Wed Mar 26 2008,7:00p,Milwaukee Bucks,96,Atlanta Hawks,115,Box Score,,14832,
Wed Mar 26 2008,7:00p,Phoenix Suns,97,Boston Celtics,117,Box Score,,18624,
Wed Mar 26 2008,7:00p,New Orleans Hornets,100,Cleveland Cavaliers,99,Box Score,,20562,
Wed Mar 26 2008,8:30p,Minnesota Timberwolves,86,Houston Rockets,97,Box Score,,18269,
Wed Mar 26 2008,10:30p,Charlotte Bobcats,108,Los Angeles Lakers,95,Box Score,,18997,
Wed Mar 26 2008,7:30p,Indiana Pacers,117,New Jersey Nets,124,Box Score,,15134,
Wed Mar 26 2008,7:30p,Miami Heat,96,New York Knicks,103,Box Score,OT,19209,
Wed Mar 26 2008,7:00p,Chicago Bulls,99,Philadelphia 76ers,121,Box Score,,18620,
Wed Mar 26 2008,10:00p,Memphis Grizzlies,106,Sacramento Kings,107,Box Score,OT,13433,
Wed Mar 26 2008,8:30p,Los Angeles Clippers,88,San Antonio Spurs,97,Box Score,,18797,
Wed Mar 26 2008,10:00p,Washington Wizards,104,Seattle SuperSonics,99,Box Score,,10497,
Wed Mar 26 2008,7:00p,Detroit Pistons,82,Toronto Raptors,89,Box Score,,19800,
Thu Mar 27 2008,8:00p,Dallas Mavericks,105,Denver Nuggets,118,Box Score,,18247,
Thu Mar 27 2008,8:00p,Miami Heat,69,Detroit Pistons,85,Box Score,,22076,
Thu Mar 27 2008,10:30p,Portland Trail Blazers,95,Golden State Warriors,111,Box Score,,19732,
Fri Mar 28 2008,7:30p,Chicago Bulls,103,Atlanta Hawks,106,Box Score,,17223,
Fri Mar 28 2008,7:30p,New Orleans Hornets,92,Boston Celtics,112,Box Score,,18624,
Fri Mar 28 2008,7:00p,New Jersey Nets,115,Indiana Pacers,123,Box Score,,13282,
Fri Mar 28 2008,10:30p,Memphis Grizzlies,114,Los Angeles Lakers,111,Box Score,,18997,
Fri Mar 28 2008,8:30p,Orlando Magic,103,Milwaukee Bucks,86,Box Score,,17531,
Fri Mar 28 2008,7:00p,Phoenix Suns,107,Philadelphia 76ers,93,Box Score,,20707,
Fri Mar 28 2008,10:00p,Washington Wizards,114,Sacramento Kings,108,Box Score,,14061,
Fri Mar 28 2008,8:30p,Minnesota Timberwolves,84,San Antonio Spurs,99,Box Score,,18797,
Fri Mar 28 2008,10:30p,Charlotte Bobcats,96,Seattle SuperSonics,93,Box Score,,13592,
Fri Mar 28 2008,7:00p,New York Knicks,95,Toronto Raptors,103,Box Score,,19800,
Fri Mar 28 2008,9:00p,Los Angeles Clippers,101,Utah Jazz,121,Box Score,,19911,
Sat Mar 29 2008,8:30p,Milwaukee Bucks,111,Chicago Bulls,114,Box Score,,21983,
Sat Mar 29 2008,9:00p,Golden State Warriors,112,Denver Nuggets,119,Box Score,,19844,
Sat Mar 29 2008,7:30p,Cleveland Cavaliers,71,Detroit Pistons,85,Box Score,,22076,
Sat Mar 29 2008,10:30p,Memphis Grizzlies,97,Los Angeles Clippers,110,Box Score,,18125,
Sat Mar 29 2008,7:30p,Phoenix Suns,110,New Jersey Nets,104,Box Score,,19990,
Sat Mar 29 2008,10:00p,Charlotte Bobcats,93,Portland Trail Blazers,85,Box Score,,19980,
Sun Mar 30 2008,4:00p,New York Knicks,109,Atlanta Hawks,114,Box Score,,16573,
Sun Mar 30 2008,6:00p,Miami Heat,62,Boston Celtics,88,Box Score,,18624,
Sun Mar 30 2008,6:00p,Philadelphia 76ers,88,Cleveland Cavaliers,91,Box Score,,20562,
Sun Mar 30 2008,9:00p,Dallas Mavericks,104,Golden State Warriors,114,Box Score,,19852,
Sun Mar 30 2008,9:30p,Washington Wizards,120,Los Angeles Lakers,126,Box Score,OT,18997,
Sun Mar 30 2008,3:30p,Utah Jazz,103,Minnesota Timberwolves,110,Box Score,,19356,
Sun Mar 30 2008,1:00p,Houston Rockets,88,San Antonio Spurs,109,Box Score,,18797,
Sun Mar 30 2008,9:00p,Sacramento Kings,120,Seattle SuperSonics,107,Box Score,,10862,
Sun Mar 30 2008,6:00p,New Orleans Hornets,118,Toronto Raptors,111,Box Score,,19800,
Mon Mar 31 2008,7:00p,Toronto Raptors,104,Charlotte Bobcats,100,Box Score,,12188,
Mon Mar 31 2008,7:00p,Miami Heat,85,Indiana Pacers,105,Box Score,,11529,
Mon Mar 31 2008,10:30p,Dallas Mavericks,93,Los Angeles Clippers,86,Box Score,,17124,
Mon Mar 31 2008,8:00p,Atlanta Hawks,116,Memphis Grizzlies,99,Box Score,,10281,
Mon Mar 31 2008,10:00p,Denver Nuggets,117,Phoenix Suns,132,Box Score,,18422,
Mon Mar 31 2008,9:00p,Washington Wizards,87,Utah Jazz,129,Box Score,,19911,
Tue Apr 1 2008,8:30p,Boston Celtics,106,Chicago Bulls,92,Box Score,,22225,
Tue Apr 1 2008,9:00p,Phoenix Suns,120,Denver Nuggets,126,Box Score,,18870,
Tue Apr 1 2008,8:00p,New York Knicks,115,Milwaukee Bucks,119,Box Score,OT,13579,
